ID,タイトル,詳細,重要度,カテゴリ
1,終了時にクラッシュ,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,C,クラッシュ
2,アプリが起動直後にクラッシュする,アプリを閉じる際に例外エラーが発生してクラッシュします。,C,クラッシュ
3,データが消失する,変更内容が確認画面に反映されません。,D,データ
4,パスワードリセットメールが届かない,パスワードリセットのメールがユーザーに届きません。,B,認証
5,特定操作でクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,D,クラッシュ
6,画面遷移が遅い,アプリの起動に10秒以上かかります。,A,パフォーマンス
7,スクロールがカクつく,トップページに遷移する際、3秒以上かかる場合があります。,C,パフォーマンス
8,アプリが起動直後にクラッシュする,メニュー内の設定を押すとアプリが強制終了します。,C,クラッシュ
9,画面遷移が遅い,リストをスクロールすると動作が重くなります。,S,パフォーマンス
10,画面遷移が遅い,リストをスクロールすると動作が重くなります。,D,パフォーマンス
11,スクロールがカクつく,リストをスクロールすると動作が重くなります。,C,パフォーマンス
12,ログインできない,認証コードを入力しても認証されず、ログインできません。,B,認証
13,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,B,クラッシュ
14,スクロールがカクつく,リストをスクロールすると動作が重くなります。,B,パフォーマンス
15,テーマが正しく反映されない,ダークテーマにしても一部の画面が反映されません。,B,UI
16,終了時にクラッシュ,アプリを閉じる際に例外エラーが発生してクラッシュします。,C,クラッシュ
17,フォントが読みづらい,ダークテーマにしても一部の画面が反映されません。,C,UI
18,設定が保存されない,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,C,データ
19,アプリが起動直後にクラッシュする,アプリを閉じる際に例外エラーが発生してクラッシュします。,D,クラッシュ
20,ログインできない,パスワードリセットのメールがユーザーに届きません。,B,認証
21,ログインできない,パスワードリセットのメールがユーザーに届きません。,C,認証
22,画面遷移が遅い,アプリの起動に10秒以上かかります。,C,パフォーマンス
23,ログインできない,正しいIDとパスワードを入力してもログインに失敗します。,B,認証
24,設定が保存されない,変更内容が確認画面に反映されません。,A,データ
25,二段階認証が失敗する,認証コードを入力しても認証されず、ログインできません。,B,認証
26,スクロールがカクつく,トップページに遷移する際、3秒以上かかる場合があります。,C,パフォーマンス
27,入力内容が反映されない,入力したデータが保存されず、消えてしまいます。,S,データ
28,終了時にクラッシュ,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,C,クラッシュ
29,起動時間が長い,アプリの起動に10秒以上かかります。,C,パフォーマンス
30,終了時にクラッシュ,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,S,クラッシュ
31,テーマが正しく反映されない,フォントサイズが小さく、ユーザーが読みづらいと感じています。,C,UI
32,設定が保存されない,入力したデータが保存されず、消えてしまいます。,B,データ
33,画面遷移が遅い,トップページに遷移する際、3秒以上かかる場合があります。,C,パフォーマンス
34,終了時にクラッシュ,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,C,クラッシュ
35,画面遷移が遅い,リストをスクロールすると動作が重くなります。,A,パフォーマンス
36,フォントが読みづらい,特定の解像度でボタンの位置がずれて表示されます。,B,UI
37,入力内容が反映されない,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,C,データ
38,ログインできない,パスワードリセットのメールがユーザーに届きません。,D,認証
39,スクロールがカクつく,アプリの起動に10秒以上かかります。,C,パフォーマンス
40,フォントが読みづらい,フォントサイズが小さく、ユーザーが読みづらいと感じています。,A,UI
41,ボタンの位置がずれる,特定の解像度でボタンの位置がずれて表示されます。,S,UI
42,二段階認証が失敗する,正しいIDとパスワードを入力してもログインに失敗します。,D,認証
43,データが消失する,変更内容が確認画面に反映されません。,S,データ
44,ボタンの位置がずれる,特定の解像度でボタンの位置がずれて表示されます。,A,UI
45,画面遷移が遅い,リストをスクロールすると動作が重くなります。,B,パフォーマンス
46,アプリが起動直後にクラッシュする,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,D,クラッシュ
47,パスワードリセットメールが届かない,パスワードリセットのメールがユーザーに届きません。,C,認証
48,設定が保存されない,入力したデータが保存されず、消えてしまいます。,B,データ
49,データが消失する,入力したデータが保存されず、消えてしまいます。,S,データ
50,ログインできない,正しいIDとパスワードを入力してもログインに失敗します。,B,認証
51,二段階認証が失敗する,正しいIDとパスワードを入力してもログインに失敗します。,D,認証
52,テーマが正しく反映されない,フォントサイズが小さく、ユーザーが読みづらいと感じています。,C,UI
53,データが消失する,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,D,データ
54,ログインできない,パスワードリセットのメールがユーザーに届きません。,A,認証
55,特定操作でクラッシュ,メニュー内の設定を押すとアプリが強制終了します。,A,クラッシュ
56,テーマが正しく反映されない,特定の解像度でボタンの位置がずれて表示されます。,C,UI
57,フォントが読みづらい,ダークテーマにしても一部の画面が反映されません。,C,UI
58,設定が保存されない,入力したデータが保存されず、消えてしまいます。,C,データ
59,設定が保存されない,入力したデータが保存されず、消えてしまいます。,A,データ
60,起動時間が長い,アプリの起動に10秒以上かかります。,C,パフォーマンス
61,設定が保存されない,変更内容が確認画面に反映されません。,D,データ
62,ボタンの位置がずれる,ダークテーマにしても一部の画面が反映されません。,B,UI
63,アプリが起動直後にクラッシュする,メニュー内の設定を押すとアプリが強制終了します。,D,クラッシュ
64,画面遷移が遅い,アプリの起動に10秒以上かかります。,S,パフォーマンス
65,二段階認証が失敗する,正しいIDとパスワードを入力してもログインに失敗します。,S,認証
66,スクロールがカクつく,リストをスクロールすると動作が重くなります。,D,パフォーマンス
67,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,A,認証
68,入力内容が反映されない,変更内容が確認画面に反映されません。,B,データ
69,画面遷移が遅い,アプリの起動に10秒以上かかります。,B,パフォーマンス
70,起動時間が長い,リストをスクロールすると動作が重くなります。,B,パフォーマンス
71,ログインできない,正しいIDとパスワードを入力してもログインに失敗します。,D,認証
72,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,S,認証
73,ログインできない,正しいIDとパスワードを入力してもログインに失敗します。,B,認証
74,二段階認証が失敗する,認証コードを入力しても認証されず、ログインできません。,S,認証
75,ボタンの位置がずれる,特定の解像度でボタンの位置がずれて表示されます。,D,UI
76,フォントが読みづらい,フォントサイズが小さく、ユーザーが読みづらいと感じています。,C,UI
77,画面遷移が遅い,アプリの起動に10秒以上かかります。,D,パフォーマンス
78,テーマが正しく反映されない,フォントサイズが小さく、ユーザーが読みづらいと感じています。,B,UI
79,アプリが起動直後にクラッシュする,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,S,クラッシュ
80,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,B,認証
81,データが消失する,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,B,データ
82,画面遷移が遅い,アプリの起動に10秒以上かかります。,C,パフォーマンス
83,スクロールがカクつく,リストをスクロールすると動作が重くなります。,A,パフォーマンス
84,ボタンの位置がずれる,特定の解像度でボタンの位置がずれて表示されます。,C,UI
85,画面遷移が遅い,アプリの起動に10秒以上かかります。,S,パフォーマンス
86,ログインできない,正しいIDとパスワードを入力してもログインに失敗します。,B,認証
87,アプリが起動直後にクラッシュする,アプリを閉じる際に例外エラーが発生してクラッシュします。,B,クラッシュ
88,ボタンの位置がずれる,ダークテーマにしても一部の画面が反映されません。,D,UI
89,ボタンの位置がずれる,フォントサイズが小さく、ユーザーが読みづらいと感じています。,A,UI
90,ボタンの位置がずれる,フォントサイズが小さく、ユーザーが読みづらいと感じています。,S,UI
91,アプリが起動直後にクラッシュする,アプリを閉じる際に例外エラーが発生してクラッシュします。,S,クラッシュ
92,終了時にクラッシュ,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,S,クラッシュ
93,ボタンの位置がずれる,特定の解像度でボタンの位置がずれて表示されます。,C,UI
94,ボタンの位置がずれる,ダークテーマにしても一部の画面が反映されません。,S,UI
95,設定が保存されない,ユーザーが設定を変更しても、再起動後に元に戻ってしまいます。,S,データ
96,画面遷移が遅い,リストをスクロールすると動作が重くなります。,B,パフォーマンス
97,スクロールがカクつく,リストをスクロールすると動作が重くなります。,D,パフォーマンス
98,アプリが起動直後にクラッシュする,アプリを開くとすぐにクラッシュしてホーム画面に戻ります。,A,クラッシュ
99,起動時間が長い,リストをスクロールすると動作が重くなります。,B,パフォーマンス
100,パスワードリセットメールが届かない,正しいIDとパスワードを入力してもログインに失敗します。,B,認証
